token,Mean_Abs_SHAP,Mean_SHAP,Frequency
rezeki,0.00036245308981597193,8.212128174636746e-05,9
nih,0.00035943680639684316,0.00035600231241915024,16
suka,0.00034868570267826724,0.00034868570267826724,5
gampang,0.00034238413506318464,0.00034238413506318464,7
ketawa,0.00034110285709175513,0.00019874523138423684,4
gokil,0.00034097235920489764,0.00034097235920489764,6
masyarakat,0.0003381332301287763,0.0003375424078476066,4
tiba,0.00033698540566820155,0.00033698408640793785,3
asik,0.0003344404765666695,0.0003344404765666695,2
member,0.0003304523226979654,0.0003304523226979654,1
kayak,0.00032871127804719435,0.0003204717987919139,11
keren,0.0003263898525183322,0.0003263898525183322,16
buat,0.0003172614751780375,0.00030131090851829776,18
j,0.00031687436639185764,0.00031687436639185764,3
jauh,0.00031523279573339094,0.00030754052560478157,7
prob,0.0003136275183642283,0.0003136275183642283,1
tantangan,0.0003098428363955463,0.0003098428363955463,1
sambil,0.00030040378893681917,0.00030040378893681917,8
ki,0.00029617165451054463,0.00029617165451054463,1
menarik,0.0002936807826663426,0.0002936807826663426,4
event,0.00029241125478984034,0.00025195890496070207,6
lex,0.00028925128340051744,0.00028925128340051744,1
permainan,0.00028913806543278043,0.00028913806543278043,2
dor,0.00028860050269577186,0.00028860050269577186,2
cir,0.000286592543910956,0.00028606999009207356,3
bukan,0.00028529877938029003,0.0002782462071200565,7
hasilnya,0.00027823004044148547,0.00027492118262125586,7
gede,0.0002772065500437541,0.00016027037516758112,9
tim,0.00026494080137126727,-0.00026386475764229547,3
peta,0.0002645875939051621,0.0002645875939051621,1
rasanya,0.0002626989952004806,0.0002626989952004806,3
ho,0.0002603303260402754,0.0002603303260402754,1
hadiah,0.00025796229199477236,0.00025796229199477236,3
sensasi,0.00025692240969146953,0.00025692240969146953,3
agak,0.00025194976392708474,0.00025194976392708474,2
banyak,0.00024792898558548986,0.00024791118531431025,13
berita,0.00024421273506595754,0.00024421273506595754,2
sukses,0.00024392922895155302,0.00024392922895155302,6
soalnya,0.0002425610762802535,0.0002425610762802535,4
tempatnya,0.000242403369222302,0.000242403369222302,1
kapan,0.00023522577077164896,0.00023522577077164896,4
sih,0.000230676586416373,-8.264793126625358e-05,29
maksimal,0.00022604681061420706,0.00022604681061420706,2
oth,0.00022574734595400515,-0.00022574734595400515,1
uang,0.00022374881715732045,0.00022374881715732045,5
cheat,0.00022314190769247944,-0.00022314190769247944,1
besar,0.0002227845240784518,0.00012625708525665686,12
pu,0.00022223182322341018,0.00022223182322341018,2
hadir,0.0002216969351939042,0.0002216969351939042,1
solusinya,0.00022128216666169464,0.00022128216666169464,1
6,0.00021986854130609447,0.00021986854130573316,2
tiap,0.0002186399785350659,0.00020554060857830335,10
berlian,0.00021837941781632252,0.00021837941781632252,1
menunggu,0.00021643602192489197,0.00021643602192489197,4
deh,0.00021558210431248882,0.00018512100528459997,16
sama,0.00021223621014063003,0.00017406437533166658,17
uto,0.00021205076280602953,0.00021205076280602953,1
cn,0.0002064286568056559,0.0002064286568056559,1
auto,0.0002054395916275098,0.0002054395916275098,3
ketagihan,0.00020484955667780013,0.00020484955667780013,2
ngerasain,0.00020448106472031213,0.00020448106472031213,1
jep,0.00020228635957391817,0.00020045319258861128,10
instan,0.00019896627575144522,0.00019896627575144522,2
biasa,0.00019826424024540758,0.00019135173002905503,9
in,0.00019592971516819185,0.00018100398250838528,21
soal,0.0001951394465386329,0.000193539242872248,5
lain,0.00019417903753366687,0.00018261022984738485,18
jutaan,0.00019339646866137628,0.00019339646866137628,1
tahun,0.00019221996362648496,-0.0001674895006199222,4
lancar,0.00019190372290540835,0.00017811682843239395,3
lengkap,0.00018979682708595647,0.00018946554416470463,5
latihan,0.0001868586273303663,0.0001868586273303663,1
n,0.0001867945780234211,0.00018597163657650884,11
malem,0.00018615393682557623,0.00018615393682557623,1
kemenangan,0.00018604720212897518,0.00018604720212897518,2
hanya,0.00018578790878099325,9.501807908883267e-05,6
habis,0.0001846261694736313,0.0001846261694736313,1
ala,0.00018414463473591773,0.00018414463473591773,2
maen,0.00018247654443985083,0.00018247654443985083,1
upgrade,0.00017843078420264646,0.00017843078420264646,1
serius,0.00017658831665175967,0.00016165664137224667,9
cair,0.0001760499262600206,0.0001760499262600206,1
puas,0.00017415710017667152,0.00017415710017667152,2
rapi,0.00017341614652156728,0.0001734161465205309,2
mood,0.00017283927748212592,0.00017283927748212592,1
ay,0.00017283144756220282,-0.00017283144756220282,6
history,0.0001694585080313118,0.0001694585080313118,6
ra,0.0001689043305341329,0.0001689043305341329,2
lagunya,0.00016871548818744487,-0.00016871548818744487,1
meluncur,0.00016809652365191142,0.00016809652365191142,1
er,0.00016805717918480826,1.1737678200372016e-05,12
transaksi,0.00016781639550026738,0.00016781639550026738,2
anj,0.0001670218808540085,-0.0001601492144363874,10
ya,0.00016697917016733608,-0.00013192086934889322,21
10,0.000166654357001278,0.00016505973422459847,5
dengan,0.0001660477036502492,7.547677441800172e-05,14
trak,0.0001660475165263051,0.0001660475165263051,1
dibayar,0.00016428187461133348,0.00010785162770480383,4
circle,0.00016267431772939745,0.00016267431772939745,1
nyaman,0.0001623147386380879,0.0001623147386380879,1
abis,0.00016078137557529513,0.00015775164341071753,11
bang,0.0001605980699113777,0.00010286710634505401,17
melayani,0.00015714439615112496,0.00015714439615112496,1
datang,0.00015644674446230056,0.00015644674446230056,3
disebut,0.00015609418756503147,0.00015609418756503147,1
memang,0.00015301120609171145,8.681221846733631e-05,11
tingkat,0.00015237805952347116,0.00015237805952347116,2
cepat,0.00014522770539822106,0.00014522770539822106,6
tub,0.00014190002069517505,0.00014190002069517505,1
pertama,0.00014156977630773327,4.0308287971129176e-05,5
med,0.00014143538793723564,0.00014143538793723564,2
eh,0.0001414039998790031,0.0001409766891893014,5
loyal,0.00013974517084716355,-0.00013974517084716355,1
21,0.00013914698172577976,0.00013914698172317965,2
draw,0.0001379754424924613,0.0001379754424924613,1
kadang,0.00013729330792557447,0.00013729330792557447,2
ternyata,0.00013725221866479843,0.0001365361848511384,4
lucky,0.00013675071101170033,0.00013675071101170033,2
aku,0.0001365986756318307,0.0001365986756318307,7
h,0.0001358673147697118,0.00012730098324391292,8
paling,0.0001324865017159027,0.0001324865017159027,6
referral,0.0001307920730614569,0.0001307920730614569,1
3,0.00012867806038269008,0.00011688324450269955,6
orang,0.00012682252420832452,3.146666154845042e-05,14
juta,0.00012573519912257325,0.00012573519912257325,3
ey,0.000125540278837434,0.00011699058605881873,2
notifikasi,0.000124733501834271,0.000124733501834271,1
asli,0.00012408854443981708,7.960203300115407e-05,15
aa,0.00012018655575581458,0.00011726212803102196,8
lee,0.00011978001492389012,-0.00011545387739897706,2
benar,0.00011717046075526534,0.00011649729014451233,6
cerita,0.00011560679046124278,0.00011559069574832393,5
